Task_Groups,Number_of_Task_Groups
"{0: [80, 76, 12, 61, 57, 27, 10], 1: [52, 25, 91, 22], 2: [55, 46, 24], 3: [78], 4: [9], 5: [83, 81, 85, 2, 90, 28], 6: [84, 18], 7: [20, 30], 8: [87, 67, 70], 9: [86, 89, 6], 10: [59, 92], 11: [5]}",12
"{0: [85, 86], 1: [24], 2: [9], 3: [57, 27], 4: [83, 55, 89, 59], 5: [78, 5], 6: [80, 46, 61, 91, 6, 70, 18], 7: [52, 2, 87, 28], 8: [76, 67], 9: [20, 84, 90], 10: [81, 30, 12], 11: [92], 12: [22, 10], 13: [25]}",14
"{0: [52, 55, 28], 1: [78, 46], 2: [81, 2, 87], 3: [59], 4: [12, 24, 70, 92], 5: [67, 57], 6: [76, 84, 27], 7: [83, 85, 5, 61], 8: [25, 20], 9: [86, 6], 10: [22, 89], 11: [9, 18], 12: [80, 91], 13: [30], 14: [10], 15: [90]}",16
"{0: [52, 85, 61, 59], 1: [83, 25, 86, 78, 87, 57, 27], 2: [22, 9, 70, 10], 3: [81, 5, 89, 92], 4: [46, 6], 5: [2, 12], 6: [76, 30, 55, 91], 7: [80, 20, 84, 67, 18], 8: [90, 28, 24]}",9
"{0: [25, 85, 2, 92], 1: [57], 2: [86, 5, 91], 3: [81, 76, 12, 70, 10], 4: [84, 55, 90, 22, 24], 5: [78, 46, 27], 6: [87, 67], 7: [28, 9, 59, 18], 8: [52, 6], 9: [83, 61], 10: [30, 89], 11: [80, 20]}",12
"{0: [9, 10], 1: [84], 2: [81], 3: [83, 57], 4: [76, 20, 86, 24], 5: [80], 6: [52, 61, 67], 7: [30, 2, 55, 22, 89], 8: [5, 46, 91], 9: [87, 70], 10: [18], 11: [25, 12, 28, 27], 12: [59], 13: [85, 6], 14: [90, 92], 15: [78]}",16
"{0: [84, 30], 1: [83, 76, 85, 2, 57, 9, 18], 2: [20, 12, 61, 24], 3: [52, 27], 4: [81, 86, 5, 91, 92], 5: [10], 6: [80, 78, 55, 6], 7: [87, 22, 28, 59], 8: [67], 9: [25, 46, 90, 89, 70]}",10
"{0: [55, 67, 91], 1: [80, 5, 61, 59], 2: [83], 3: [25, 78, 10], 4: [2, 87], 5: [81, 84], 6: [20, 30, 12, 90, 6, 24], 7: [76, 22, 28], 8: [57, 70], 9: [85, 9, 18], 10: [89, 92], 11: [52, 46], 12: [27], 13: [86]}",14
"{0: [80, 78, 27, 18], 1: [87], 2: [85, 46, 61, 6], 3: [83, 28], 4: [52, 20, 5, 2, 55, 91, 89, 9], 5: [81, 76, 67, 22, 57], 6: [12, 10], 7: [25, 70, 92], 8: [30, 59], 9: [86, 84, 24], 10: [90]}",11
"{0: [85, 78, 6, 27], 1: [76, 90, 89, 70], 2: [86, 55, 12, 9], 3: [2], 4: [25], 5: [46, 28], 6: [92], 7: [91], 8: [24, 59], 9: [83, 84, 22, 57], 10: [52, 5, 87, 18], 11: [81], 12: [20, 61], 13: [80, 30, 67, 10]}",14
"{0: [81, 85, 22, 57, 24], 1: [84, 27, 59, 70, 92], 2: [30, 90], 3: [55], 4: [80, 76, 25, 78], 5: [83, 67, 10], 6: [52, 20, 89, 6, 28], 7: [86, 87, 9], 8: [91, 18], 9: [5, 2, 46, 12, 61]}",10
"{0: [87, 89, 57, 27, 18], 1: [86, 2, 12, 28, 24], 2: [81, 84], 3: [25, 5, 91], 4: [80, 22, 59], 5: [46], 6: [30, 70], 7: [78, 90, 6, 10], 8: [83, 76, 67, 92], 9: [85, 55, 61, 9], 10: [20], 11: [52]}",12
"{0: [55, 12], 1: [83, 52], 2: [84, 2, 87, 90, 28, 10], 3: [80, 86, 70], 4: [5, 9, 92], 5: [85, 78, 30, 91, 22, 27], 6: [81, 76, 46, 67, 59], 7: [61, 89, 57], 8: [18], 9: [25, 6], 10: [24], 11: [20]}",12
"{0: [81, 2, 22], 1: [83, 76], 2: [87, 61, 18], 3: [67, 90, 70], 4: [52, 25, 5, 46, 12, 24, 10], 5: [84, 9], 6: [30, 55, 27], 7: [86, 78, 91, 92], 8: [20], 9: [80, 28], 10: [89, 57, 59], 11: [85, 6]}",12
"{0: [83, 80, 46, 9, 24], 1: [52, 5, 30, 89, 70], 2: [84, 78, 87, 91, 57, 28], 3: [86, 22], 4: [81, 90], 5: [85, 55, 12], 6: [76, 25, 20, 67], 7: [2, 61, 59], 8: [18], 9: [6, 92, 10], 10: [27]}",11
"{0: [84, 5, 46, 92], 1: [25, 78, 30, 55, 87, 61, 89], 2: [83, 80, 12, 91, 57, 18], 3: [52, 81, 22, 9, 59], 4: [90, 6, 24, 27], 5: [20, 67], 6: [2], 7: [76, 85, 28], 8: [86, 70, 10]}",9
"{0: [2, 22, 89, 70], 1: [81, 25, 84, 5, 10], 2: [30], 3: [52, 61, 28], 4: [85, 86, 78, 55], 5: [83, 12, 24, 18], 6: [20, 46, 90, 92], 7: [76, 59], 8: [67, 91, 9], 9: [27], 10: [80, 87, 57], 11: [6]}",12
"{0: [83, 70], 1: [81, 80, 89, 57, 6], 2: [25, 28, 59], 3: [85, 78, 61, 18, 10], 4: [84, 91, 9], 5: [76, 12, 67], 6: [5, 30], 7: [46, 92], 8: [52], 9: [2, 55], 10: [86], 11: [90, 27], 12: [20, 87, 24], 13: [22]}",14
"{0: [83, 76, 84, 55, 89, 18], 1: [22, 6, 59, 92], 2: [86, 78, 28, 10], 3: [52, 5, 67], 4: [12, 90, 27], 5: [25, 85, 46, 9, 70], 6: [80, 20, 2, 87, 61, 57], 7: [91], 8: [81, 30, 24]}",9
"{0: [57, 28, 18], 1: [86, 91, 9], 2: [5, 67, 90], 3: [81, 80, 87], 4: [78], 5: [85, 30, 89, 92], 6: [2, 27], 7: [76, 84, 22, 70], 8: [83, 20, 24], 9: [52, 61], 10: [46, 12], 11: [25, 59, 10], 12: [6], 13: [55]}",14
"{0: [46, 12, 61, 28, 27], 1: [83, 25, 5], 2: [89, 6, 9], 3: [76, 86, 22, 57, 10], 4: [81, 85, 84], 5: [52, 24], 6: [30, 2, 55, 87, 67, 59, 92], 7: [78], 8: [20, 91], 9: [70, 18], 10: [80, 90]}",11
"{0: [80, 25, 87, 18, 10], 1: [76, 85, 2], 2: [46, 91, 27, 59, 92], 3: [81, 61, 57, 28], 4: [83, 90, 9], 5: [78, 22], 6: [5, 24], 7: [52, 20, 30, 55, 67], 8: [86, 12, 6], 9: [89, 70], 10: [84]}",11
"{0: [86, 84, 91, 28, 9], 1: [76, 27, 92, 18, 10], 2: [5, 55, 6], 3: [30, 59], 4: [87, 46, 61, 89], 5: [24], 6: [83, 25, 78, 2, 57], 7: [67, 90, 22], 8: [80, 85, 20], 9: [81, 70], 10: [12], 11: [52]}",12
"{0: [52, 76, 18], 1: [25, 91, 59], 2: [6], 3: [85, 46, 9], 4: [86, 55, 57, 92], 5: [84, 2, 12, 67, 89, 27], 6: [83], 7: [90, 24], 8: [80, 5, 30], 9: [20, 78, 22, 70], 10: [81, 61, 28], 11: [87, 10]}",12
"{0: [83, 52, 81, 85, 24, 27], 1: [80, 5, 30, 9], 2: [84, 46, 89], 3: [76, 70, 18], 4: [25, 20, 67, 57], 5: [90, 22], 6: [78, 91], 7: [2, 92, 10], 8: [61, 59], 9: [12, 28], 10: [86, 55, 87], 11: [6]}",12
"{0: [2, 6, 9], 1: [52, 5, 30, 22], 2: [83, 76, 78, 92], 3: [20, 55, 61, 59], 4: [91, 27, 18], 5: [25, 87], 6: [85, 86, 89], 7: [80, 12, 24], 8: [84, 10], 9: [57], 10: [46, 28], 11: [90, 70], 12: [81, 67]}",13
"{0: [46], 1: [83, 52, 81, 61, 90, 18], 2: [12, 67], 3: [78, 30], 4: [20, 86, 89, 6], 5: [80, 76, 25, 84, 22, 92], 6: [24], 7: [2, 91], 8: [5, 87, 9], 9: [85, 57, 27, 59], 10: [28, 10], 11: [70], 12: [55]}",13
"{0: [25, 30, 67, 10], 1: [20, 2, 9, 70], 2: [76, 90, 89, 27], 3: [86, 46, 28], 4: [83, 52, 84, 24], 5: [12, 6], 6: [22, 59], 7: [78], 8: [5, 55, 87, 92], 9: [85], 10: [80, 61, 91, 57, 18], 11: [81]}",12
"{0: [81, 80, 78, 5, 46, 61], 1: [52, 30, 2, 67, 27, 70, 10], 2: [20, 12, 90, 22], 3: [84, 87, 24], 4: [83, 76, 57, 9, 92, 18], 5: [25, 89, 6, 59], 6: [85, 28], 7: [86], 8: [55, 91]}",9
"{0: [83, 85, 46, 28, 9, 59, 92], 1: [84, 67, 90, 57, 24, 70], 2: [86, 78, 6, 10], 3: [30, 18], 4: [52, 61, 27], 5: [76, 91, 89], 6: [25, 20, 2], 7: [5, 55, 22], 8: [81, 80, 87], 9: [12]}",10
"{0: [81, 90, 91], 1: [2, 22, 57], 2: [85, 6, 24], 3: [76, 25, 84, 55, 92], 4: [83, 10], 5: [52, 20, 86, 67], 6: [87, 27], 7: [78, 5, 30, 59, 70], 8: [89, 18], 9: [80, 12], 10: [46, 9], 11: [61, 28]}",12
"{0: [81, 12, 70], 1: [78, 2, 57, 24, 18], 2: [85, 84, 6, 27, 92, 10], 3: [83, 52], 4: [55, 89], 5: [30, 90, 9, 59], 6: [76, 87, 61, 67, 22], 7: [5], 8: [20], 9: [80, 86, 28], 10: [25, 46], 11: [91]}",12
"{0: [76, 25, 86, 10], 1: [89, 9, 18], 2: [52, 70], 3: [83, 67, 22, 92], 4: [80, 46], 5: [78, 90, 6], 6: [59], 7: [61], 8: [27], 9: [20, 2], 10: [85, 5, 28], 11: [12], 12: [81, 84, 30], 13: [55, 87], 14: [91], 15: [24], 16: [57]}",17
"{0: [25, 90], 1: [80, 30, 28], 2: [12], 3: [85, 67, 89, 18], 4: [81, 84, 87, 22, 10], 5: [52, 78, 46], 6: [5, 91], 7: [83, 76, 86, 6, 9], 8: [61], 9: [55, 70, 92], 10: [2, 24, 59], 11: [20], 12: [57, 27]}",13
"{0: [6, 27], 1: [86, 91, 22, 18], 2: [52, 80, 55, 46], 3: [25, 5, 87, 61, 70, 10], 4: [76], 5: [9], 6: [85, 67, 28, 24], 7: [12, 59], 8: [30, 90], 9: [81, 78, 92], 10: [83, 2], 11: [20, 89], 12: [57], 13: [84]}",14
"{0: [90, 89], 1: [25, 84, 46, 67, 28], 2: [85, 30, 24, 10], 3: [5, 2], 4: [52, 80, 20, 86, 55, 12, 22, 27, 59], 5: [76, 91, 70], 6: [83, 61, 9], 7: [78, 87, 18], 8: [81, 6], 9: [57, 92]}",10
"{0: [85, 61, 89], 1: [80, 86, 5, 46, 90, 6, 28, 70], 2: [67, 9, 24], 3: [52, 27], 4: [20, 78], 5: [83, 81, 84, 2, 91], 6: [30], 7: [59, 10], 8: [25], 9: [76, 55, 87, 12, 18], 10: [22, 57, 92]}",11
"{0: [76, 90], 1: [78, 87, 67, 22], 2: [86, 27], 3: [25, 89], 4: [46, 70], 5: [2, 57, 10], 6: [81, 24], 7: [80, 20, 5, 30, 12, 61], 8: [55, 18], 9: [28], 10: [83, 52, 85, 6], 11: [84, 92], 12: [9], 13: [91, 59]}",14
"{0: [46, 70], 1: [81, 78, 22], 2: [80, 61, 91], 3: [25, 57], 4: [86, 89, 6, 28, 92], 5: [76, 20, 67, 18], 6: [85, 12, 24, 59], 7: [5, 9], 8: [87, 27], 9: [83], 10: [52, 30, 2, 10], 11: [55], 12: [90], 13: [84]}",14
"{0: [20, 46, 27], 1: [86, 12, 6, 92, 18], 2: [85, 67], 3: [83, 61, 22, 9], 4: [80, 78, 5, 30, 91], 5: [87, 89, 28], 6: [55, 57], 7: [76, 2, 90, 24, 70], 8: [52], 9: [81, 25], 10: [84, 59], 11: [10]}",12
"{0: [85, 30, 22, 92], 1: [81, 18], 2: [2, 28], 3: [25, 87], 4: [76, 78, 67, 90, 91, 89], 5: [84, 5, 46], 6: [20, 55, 12], 7: [86, 9, 24], 8: [61, 10], 9: [6, 27], 10: [83, 80, 57, 59, 70], 11: [52]}",12
"{0: [81, 76, 2, 87, 12, 67, 90, 89, 6, 9], 1: [85, 78, 61, 59], 2: [80, 25, 57], 3: [84], 4: [52, 5, 46, 28, 10], 5: [20, 91], 6: [83, 24], 7: [30, 18], 8: [86, 22, 27], 9: [55, 70, 92]}",10
"{0: [78, 2, 55, 89, 27], 1: [30, 87, 91, 22, 28], 2: [81, 20, 84, 5], 3: [61, 6, 92], 4: [80, 70], 5: [25, 67, 24, 59], 6: [52, 76, 46], 7: [10], 8: [85, 86, 57], 9: [83, 12, 9], 10: [18], 11: [90]}",12
"{0: [2, 87], 1: [78, 61, 22, 24, 27], 2: [83, 46, 90], 3: [52, 30], 4: [91], 5: [5, 55, 6, 9], 6: [57], 7: [80, 70, 10], 8: [76, 25, 67, 89, 28, 59], 9: [84, 92], 10: [86], 11: [18], 12: [85, 20, 12], 13: [81]}",14
"{0: [78, 55, 92], 1: [76, 20, 28], 2: [83, 30], 3: [80, 5, 10], 4: [2, 91, 59], 5: [81, 84, 46, 67, 24], 6: [70, 18], 7: [52, 85, 90], 8: [87, 89, 9], 9: [22, 57], 10: [25, 86], 11: [12, 61], 12: [27], 13: [6]}",14
"{0: [5, 90, 6], 1: [22], 2: [81], 3: [84, 9, 27], 4: [46, 91, 59, 10], 5: [12, 18], 6: [85, 78, 55], 7: [76, 25, 57], 8: [83, 30, 24], 9: [2, 61, 92], 10: [20, 87, 67, 89], 11: [52], 12: [86], 13: [28, 70], 14: [80]}",15
"{0: [25, 46, 67, 27], 1: [5, 61, 22], 2: [84, 55, 12, 89, 57], 3: [80, 87, 28], 4: [85, 78, 30, 6, 92], 5: [86], 6: [2, 24], 7: [81, 76, 59, 70, 18], 8: [83, 90, 10], 9: [52, 20, 9], 10: [91]}",11
"{0: [83, 81, 85], 1: [30, 55, 61, 27], 2: [78], 3: [52, 90, 24, 92, 10], 4: [87], 5: [18], 6: [80, 2, 12, 9], 7: [76, 91], 8: [22, 57, 28], 9: [25, 86, 84, 67], 10: [89, 6], 11: [20, 5, 59, 70], 12: [46]}",13
"{0: [20, 30, 59, 10], 1: [83, 86, 55, 24, 92], 2: [57, 27], 3: [91, 89], 4: [9], 5: [80, 6, 18], 6: [52, 2, 46], 7: [61, 67, 90, 28], 8: [25, 78, 5, 87, 12, 22], 9: [85], 10: [76, 84], 11: [70], 12: [81]}",13
"{0: [5, 90], 1: [25, 84, 59, 18, 10], 2: [52, 6, 24], 3: [20, 12], 4: [80, 87, 89, 27], 5: [85, 61], 6: [22, 92], 7: [86, 55, 70], 8: [83, 76, 67], 9: [81, 30, 2, 46], 10: [57], 11: [9], 12: [28], 13: [78, 91]}",14
"{0: [85, 86, 67, 9], 1: [83, 81, 2, 89], 2: [5, 59, 10], 3: [84, 30, 46, 92], 4: [52, 87, 70], 5: [76, 78, 28], 6: [25, 91, 22, 24, 27], 7: [55, 61], 8: [80, 20, 12, 90, 18], 9: [57, 6]}",10
"{0: [52, 27], 1: [25, 86, 12, 90], 2: [84], 3: [20, 78], 4: [2, 24, 92], 5: [55, 61, 6, 28, 59, 18, 10], 6: [91, 89], 7: [85, 87, 46], 8: [22], 9: [30, 67, 57], 10: [80, 76, 5], 11: [81, 9], 12: [70], 13: [83]}",14
"{0: [83, 52, 76], 1: [81, 61, 22, 28], 2: [85, 2], 3: [80, 78, 30, 27], 4: [86, 55, 87, 90, 91], 5: [25, 46, 67], 6: [59, 92], 7: [20, 89, 70, 18], 8: [84, 9, 10], 9: [5, 57, 6], 10: [12, 24]}",11
"{0: [76, 78, 24, 18], 1: [86], 2: [83, 30, 57], 3: [85, 20, 67, 90], 4: [89, 9], 5: [52, 84, 2, 61], 6: [87, 70, 10], 7: [5, 27], 8: [55, 91, 28], 9: [81, 80, 59], 10: [46, 6], 11: [12, 92], 12: [25, 22]}",13
"{0: [10], 1: [85, 84], 2: [61, 59], 3: [52, 76, 46], 4: [83, 9], 5: [80, 22, 6, 28, 24], 6: [86, 27], 7: [12], 8: [5, 87], 9: [81, 67, 90], 10: [25, 55, 91, 89, 57], 11: [78, 30, 2, 70, 18], 12: [20, 92]}",13
"{0: [46, 12, 90, 57, 27, 70], 1: [20, 61], 2: [81, 25, 10], 3: [67, 92], 4: [2, 91, 22, 89], 5: [83, 85, 30, 55, 9], 6: [78, 28], 7: [87, 6, 59], 8: [86], 9: [80], 10: [5, 24], 11: [76, 84], 12: [18], 13: [52]}",14
"{0: [25, 61], 1: [85, 70], 2: [86, 2, 22], 3: [30, 46, 59], 4: [52, 81, 55, 67], 5: [76, 84, 89, 9], 6: [5], 7: [12, 6], 8: [91, 28, 24], 9: [57, 18], 10: [27], 11: [80, 20, 78, 87, 92], 12: [83], 13: [90, 10]}",14
"{0: [80, 5], 1: [83, 52, 25, 12, 61, 59], 2: [46, 90, 57], 3: [81, 92], 4: [85, 67, 9, 24, 18], 5: [20], 6: [2, 55, 87, 91, 89], 7: [76, 6, 28], 8: [27], 9: [78, 30], 10: [84, 10], 11: [86], 12: [70], 13: [22]}",14
"{0: [89, 18, 10], 1: [84, 61], 2: [85, 55, 46, 57], 3: [86, 87, 9], 4: [2, 12, 6, 27], 5: [83, 22, 24], 6: [20, 91], 7: [52], 8: [81, 90, 28, 92], 9: [80, 25, 30, 59, 70], 10: [67], 11: [78], 12: [76], 13: [5]}",14
"{0: [91, 89, 6], 1: [61, 67, 18], 2: [87, 46], 3: [20, 86, 9], 4: [81, 24], 5: [83, 30, 2, 12], 6: [84, 55], 7: [5, 22, 59, 70], 8: [80], 9: [76, 85, 78], 10: [57, 92], 11: [90, 28, 10], 12: [52, 25], 13: [27]}",14
"{0: [83, 52, 84, 61, 57, 6, 59], 1: [76, 85], 2: [78, 2, 55, 87, 91, 22, 9, 70], 3: [81, 25, 24, 10], 4: [80, 20, 89], 5: [90], 6: [5, 27, 18], 7: [46, 28], 8: [86, 12, 67], 9: [92], 10: [30]}",11
"{0: [81], 1: [76], 2: [20, 86, 12, 6, 59], 3: [85, 61, 70], 4: [80, 84, 87], 5: [27], 6: [24, 18], 7: [83, 91, 10], 8: [78], 9: [25, 57], 10: [52, 5, 2], 11: [55, 67, 22], 12: [90, 28, 9], 13: [30, 46], 14: [89, 92]}",15
"{0: [81, 70, 18], 1: [85, 6, 24], 2: [30, 2, 90, 89], 3: [5, 87], 4: [46, 27, 92], 5: [86, 67, 57, 28, 59], 6: [80, 25, 84], 7: [10], 8: [55, 22, 9], 9: [52, 12, 61], 10: [83, 76, 78], 11: [91], 12: [20]}",13
"{0: [52, 6], 1: [85, 91, 89], 2: [20, 87, 61, 90], 3: [24, 92], 4: [46, 9, 18], 5: [83, 76, 86, 84, 57], 6: [12, 10], 7: [5], 8: [80], 9: [59], 10: [55, 22, 27], 11: [25, 78], 12: [81, 30, 28], 13: [2, 70], 14: [67]}",15
"{0: [27, 59, 92], 1: [81, 57], 2: [20, 55, 61], 3: [30, 90, 89, 24, 10], 4: [52, 46, 22], 5: [76, 25, 86, 91], 6: [80, 2], 7: [84, 67, 70], 8: [85, 9], 9: [78, 28, 18], 10: [83, 12, 6], 11: [5, 87]}",12
"{0: [87, 67], 1: [70], 2: [25, 84, 61, 24, 27], 3: [80, 20, 92], 4: [89, 57, 18], 5: [28], 6: [12, 90, 10], 7: [86, 30, 59], 8: [83, 55, 46], 9: [81, 85, 78], 10: [22, 9], 11: [52, 76, 5, 91, 6], 12: [2]}",13
"{0: [52, 20, 78, 57], 1: [85, 9, 59, 18], 2: [86, 84, 24, 92], 3: [25, 90], 4: [80, 91], 5: [61, 6], 6: [81, 55, 12, 28], 7: [83, 76, 2], 8: [87, 27], 9: [89, 10], 10: [30], 11: [5], 12: [46, 67, 22, 70]}",13
"{0: [2, 46], 1: [80, 85, 30, 89, 57], 2: [5, 61], 3: [55, 90], 4: [76, 28, 59], 5: [84, 91, 22], 6: [12, 9], 7: [25, 87, 67, 10], 8: [81, 78, 27], 9: [86], 10: [92, 18], 11: [83, 6, 70], 12: [20], 13: [24], 14: [52]}",15
"{0: [52, 80, 61], 1: [85, 78, 5], 2: [30, 87, 91], 3: [84, 12, 22, 28, 9], 4: [25, 86], 5: [27, 10], 6: [81, 46, 57, 70], 7: [20, 55, 67, 92], 8: [24], 9: [83, 90, 59], 10: [76, 89, 6, 18], 11: [2]}",12
"{0: [80, 61, 57], 1: [52, 86, 84], 2: [83, 89], 3: [55, 90, 92, 18], 4: [78, 5, 30, 24, 27], 5: [81, 20, 91, 28], 6: [76, 12], 7: [2, 9], 8: [85, 67], 9: [46, 22, 10], 10: [25, 87, 6, 70], 11: [59]}",12
"{0: [86, 78, 5, 87, 18], 1: [83, 76, 30, 90, 22], 2: [25, 84, 91], 3: [89, 24, 92], 4: [80, 27], 5: [20, 55, 57], 6: [85, 12, 61], 7: [28, 59], 8: [81, 6], 9: [10], 10: [46], 11: [70], 12: [52, 2, 67, 9]}",13
"{0: [85, 27, 10], 1: [76, 67], 2: [90, 18], 3: [59], 4: [81, 70, 92], 5: [83, 55, 89, 6], 6: [52, 84, 2, 61, 22], 7: [80, 12, 91, 57], 8: [25, 20, 78, 87, 28], 9: [86, 5, 30, 46, 9], 10: [24]}",11
"{0: [25, 22], 1: [85, 89, 28, 24], 2: [6, 27, 70], 3: [86, 2, 67, 9, 59], 4: [83], 5: [81, 5], 6: [80, 12, 18], 7: [52, 20, 61, 57], 8: [76, 46, 90], 9: [84, 78, 55, 87, 10], 10: [91, 92], 11: [30]}",12
"{0: [83, 86, 78, 12, 90, 28], 1: [85, 70], 2: [81, 57], 3: [52, 25, 20], 4: [22, 27], 5: [76, 61, 89, 6], 6: [80, 30, 55, 67, 9], 7: [84, 5, 10], 8: [59], 9: [2, 87, 46, 91], 10: [92, 18], 11: [24]}",12
"{0: [83, 76, 5, 28], 1: [27, 18], 2: [81, 78, 24, 70], 3: [2, 12, 67], 4: [89, 9], 5: [86, 30, 91], 6: [87], 7: [55], 8: [61, 10], 9: [85, 46, 90, 57], 10: [52, 22], 11: [84, 6, 59, 92], 12: [80], 13: [20], 14: [25]}",15
"{0: [20, 70], 1: [81, 46], 2: [83, 85, 86, 30, 67], 3: [52, 61, 59], 4: [76, 5, 91, 89, 6, 24], 5: [22], 6: [28, 92], 7: [80, 78, 55], 8: [84, 2, 90, 57, 10], 9: [12, 27, 18], 10: [25, 9], 11: [87]}",12
"{0: [52, 80, 85], 1: [12, 89, 28], 2: [30, 46, 67, 70], 3: [25, 61, 9], 4: [83, 90, 27], 5: [5, 87, 22], 6: [76, 91], 7: [78], 8: [20, 86], 9: [24, 59], 10: [57, 92], 11: [84, 6], 12: [81, 10], 13: [2, 18], 14: [55]}",15
"{0: [84, 57, 10], 1: [25, 86, 5, 2], 2: [52, 89, 92, 18], 3: [20], 4: [91, 6, 27], 5: [55, 87], 6: [61, 67, 70], 7: [85, 30], 8: [78, 28, 9, 59], 9: [76, 46, 12, 90], 10: [83, 22], 11: [81, 80], 12: [24]}",13
"{0: [81, 6], 1: [20, 78, 5, 2], 2: [84, 28, 27], 3: [83, 30], 4: [22, 59, 70, 92], 5: [52, 67], 6: [86], 7: [55], 8: [12, 91, 57], 9: [85, 87, 10], 10: [80, 25], 11: [9, 18], 12: [76, 46, 89], 13: [24], 14: [61], 15: [90]}",16
"{0: [67, 90], 1: [25, 20, 78, 22], 2: [5, 89, 28, 59], 3: [76, 85, 2, 46, 92], 4: [81, 86, 87, 10], 5: [83, 80, 12, 57], 6: [55, 91], 7: [61, 18], 8: [9, 24, 70], 9: [6, 27], 10: [52], 11: [84], 12: [30]}",13
"{0: [20, 30, 55, 61, 27, 92], 1: [87, 67, 90, 6], 2: [52, 25, 5, 24], 3: [91, 28, 10], 4: [85, 2, 12, 9, 70], 5: [80, 89], 6: [84], 7: [83, 78], 8: [81, 76, 22, 59], 9: [46], 10: [86, 57, 18]}",11
"{0: [12, 89, 6], 1: [52, 5, 90, 27, 18], 2: [87, 92], 3: [84, 22, 57], 4: [83, 76, 24], 5: [46, 70], 6: [61, 9, 59], 7: [25, 2], 8: [80, 55, 28], 9: [85, 30], 10: [81, 91], 11: [67], 12: [78, 10], 13: [20], 14: [86]}",15
"{0: [81, 2], 1: [55, 91, 59], 2: [25, 67, 89], 3: [52, 70], 4: [78, 87, 46], 5: [30, 90, 28], 6: [92], 7: [84, 24], 8: [76, 20, 5, 57], 9: [83], 10: [80, 27], 11: [12, 22], 12: [86, 61], 13: [9, 10], 14: [85, 18], 15: [6]}",16
"{0: [83, 84, 87, 6], 1: [86, 30, 70], 2: [80, 2, 89, 27], 3: [57], 4: [24, 92], 5: [61, 67], 6: [52, 5], 7: [81, 20, 46, 12, 28], 8: [25, 22, 59, 18], 9: [55, 90], 10: [78, 10], 11: [76, 85, 9], 12: [91]}",13
"{0: [55, 90, 28, 10], 1: [76, 85], 2: [5, 46], 3: [25, 20, 30, 18], 4: [61, 89], 5: [83, 86], 6: [80, 84, 91, 24], 7: [12, 57, 70], 8: [78, 92], 9: [87, 22, 9, 27, 59], 10: [67, 6], 11: [52, 81], 12: [2]}",13
"{0: [12, 24, 27, 10], 1: [80, 87, 46, 59], 2: [52, 81], 3: [85, 30, 55], 4: [84, 5, 2, 22, 92], 5: [67], 6: [90, 28], 7: [86, 61, 91, 9], 8: [89, 70], 9: [25, 18], 10: [83, 76, 20], 11: [78, 6], 12: [57]}",13
"{0: [76, 78, 87, 12, 61, 91, 57, 27], 1: [85, 46], 2: [5, 89, 24, 10], 3: [83, 52, 25, 86, 2, 55, 28, 18], 4: [9], 5: [22], 6: [92], 7: [67, 90], 8: [59], 9: [81, 80, 20], 10: [30, 6, 70], 11: [84]}",12
"{0: [46, 59], 1: [90, 18, 10], 2: [86, 2, 55], 3: [81, 76, 67, 89], 4: [25, 91, 27], 5: [80, 85, 24], 6: [20, 12, 57, 28, 9], 7: [83, 84, 30], 8: [5, 87, 61, 70, 92], 9: [52, 78, 22, 6]}",10
"{0: [84, 10], 1: [20, 12, 27], 2: [83, 46, 67, 6, 59], 3: [86, 30], 4: [87, 92], 5: [76, 61, 89], 6: [5, 28, 24], 7: [91, 57, 18], 8: [55, 90, 70], 9: [85, 22, 9], 10: [81, 80, 2], 11: [52, 25], 12: [78]}",13
"{0: [5, 67, 6, 27], 1: [28, 9, 92, 10], 2: [81, 2, 61], 3: [80, 84, 55, 57, 59, 18], 4: [76, 25, 90], 5: [83, 78, 70], 6: [87, 12, 22], 7: [20, 46], 8: [52, 85, 86, 24], 9: [91], 10: [30, 89]}",11
"{0: [76, 86, 78, 5, 2], 1: [83, 67], 2: [55, 87, 91], 3: [85, 61, 57, 18], 4: [52, 80, 30, 22, 9, 24], 5: [12, 70], 6: [84, 90, 28], 7: [27, 10], 8: [25, 20], 9: [81, 89, 6], 10: [46, 92], 11: [59]}",12
"{0: [83, 55, 91], 1: [52, 67, 22, 89, 57, 9], 2: [85, 12, 24, 59], 3: [78], 4: [27], 5: [20, 2, 70], 6: [81, 18], 7: [5, 28, 92], 8: [25, 30, 6, 10], 9: [80, 87, 46], 10: [76, 84, 61], 11: [86], 12: [90]}",13
"{0: [90, 27], 1: [46, 12, 61, 89], 2: [76, 86, 87, 22, 18], 3: [30, 57], 4: [83, 84, 70, 10], 5: [85, 28], 6: [20, 55], 7: [9], 8: [5, 91, 59], 9: [25], 10: [78], 11: [80], 12: [67, 92], 13: [2], 14: [6, 24], 15: [52, 81]}",16
"{0: [30, 55, 6, 28, 24, 70, 92], 1: [81, 76, 12, 18, 10], 2: [87, 9], 3: [20, 86, 61, 89], 4: [83, 67, 90], 5: [52, 84, 59], 6: [80, 27], 7: [46, 91, 22, 57], 8: [85], 9: [25, 78, 5, 2]}",10
